decidermemberid,othermemberid,timestamp,like,decidergender,othergender,deciderdobyear,otherdobyear,decidersignuptimestamp,othersignuptimestamp
u1,p1,2021-01-01 09:00:00,1,M,F,1994,1996,2020-12-01 12:00:00,2020-12-02 12:00:00
u1,p2,2021-01-01 10:00:00,1,M,F,1994,1995,2020-12-01 12:00:00,2020-12-02 12:00:00
u1,p3,2021-01-01 11:00:00,1,M,F,1994,1993,2020-12-01 12:00:00,2020-12-02 12:00:00
u2,p1,2021-01-01 09:15:00,1,F,M,1992,1991,2020-12-01 12:00:00,2020-12-02 12:00:00
u2,p2,2021-01-01 10:15:00,1,F,M,1992,1994,2020-12-01 12:00:00,2020-12-02 12:00:00
u2,p4,2021-01-01 11:15:00,1,F,M,1992,1995,2020-12-01 12:00:00,2020-12-02 12:00:00
u3,p2,2021-01-01 09:30:00,1,M,F,1990,1994,2020-12-01 12:00:00,2020-12-02 12:00:00
u3,p3,2021-01-01 10:30:00,1,M,F,1990,1996,2020-12-01 12:00:00,2020-12-02 12:00:00
u3,p4,2021-01-01 11:30:00,1,M,F,1990,1997,2020-12-01 12:00:00,2020-12-02 12:00:00
u3,p5,2021-01-01 12:30:00,0,M,F,1990,1998,2020-12-01 12:00:00,2020-12-02 12:00:00
